Date,avg_sentiment_score,count_news,mode_sentiment,Close,High,Low,Open,Volume,Return,Target,Return_lag1,Volume_lag1,Return_lag2,Volume_lag2,Return_lag3,Volume_lag3,Return_lag4,Volume_lag4,Return_lag5,Volume_lag5,SMA_10,EMA_10,RSI_14,MACD,MACD_signal,BB_High,BB_Low,ATR_14
2/20/2008,0.0,0.0,Neutral,1360.030029,1363.709961,1336.550049,1348.390015,3870520000,0.00834087083002033,0,-0.0008962740531135438,3613550000.0,0.00083774818184712,3583300000.0,-0.013421476235134011,3644760000.0,0.013604062841259257,3856420000.0,0.0072658964877723164,4044640000.0,1345.7510008,1352.0215016708562,48.901622652535494,-10.252351638139316,-13.926977230238677,1387.3934252797344,1316.8355785202657,27.135977282866776
2/21/2008,0.9993625283241272,1.0,Neutral,1342.530029,1367.939941,1339.339966,1362.209961,3696660000,-0.012867362945557459,1,0.00834087083002033,3870520000.0,-0.0008962740531135438,3613550000.0,0.00083774818184712,3583300000.0,-0.013421476235134011,3644760000.0,0.013604062841259257,3856420000.0,1347.3590086,1350.2957793670641,44.17211584879056,-10.283449358140388,-13.19827165581902,1387.3294557402105,1317.2925533597895,27.240548548376296
2/22/2008,0.9169523417949677,2.0,Negative,1353.109985,1354.300049,1327.040039,1344.219971,3572660000,0.007880610318921955,1,-0.012867362945557459,3696660000.0,0.00834087083002033,3870520000.0,-0.0008962740531135438,3613550000.0,0.00083774818184712,3583300000.0,-0.013421476235134011,3644760000.0,1348.9790037,1350.807453118507,47.479265673426696,-9.346638268589913,-12.4279449783732,1387.3829602272242,1317.3430527727758,27.241938652063702
2/25/2008,0.0,0.0,Neutral,1371.800049,1374.359985,1346.030029,1352.75,3866350000,0.013812671702367219,1,0.007880610318921955,3572660000.0,-0.012867362945557459,3696660000.0,0.00834087083002033,3870520000.0,-0.0008962740531135438,3613550000.0,0.00083774818184712,3583300000.0,1353.0300047,1354.624288733324,52.798731048061114,-7.015209793658869,-11.345397941430335,1388.923986200103,1319.9210331998972,27.319654176916295
2/26/2008,0.0,0.0,Neutral,1381.290039,1387.339966,1363.290039,1371.76001,4096060000,0.006917910527061144,0,0.013812671702367219,3866350000.0,0.007880610318921955,3572660000.0,-0.012867362945557459,3696660000.0,0.00834087083002033,3870520000.0,-0.0008962740531135438,3613550000.0,1357.2460081,1359.4726069636288,55.275699110718726,-4.351610392574457,-9.94664043165916,1392.2199425605631,1319.358084639437,27.08610223570799
2/27/2008,0.0,0.0,Neutral,1380.02002,1388.339966,1372.0,1378.949951,3904700000,-0.0009194441168340894,0,0.006917910527061144,4096060000.0,0.013812671702367219,3866350000.0,0.007880610318921955,3572660000.0,-0.012867362945557459,3696660000.0,0.00834087083002033,3870520000.0,1360.3620116,1363.208500242969,54.86078529189364,-2.3164658202992996,-8.420605509387189,1394.5302922182088,1318.819732081791,26.318521076014566
2/28/2008,0.9995655417442322,1.0,Neutral,1367.680054,1378.160034,1363.160034,1378.160034,3938580000,-0.008941874625847834,0,-0.0009194441168340894,3904700000.0,0.006917910527061144,4096060000.0,0.013812671702367219,3866350000.0,0.007880610318921955,3572660000.0,-0.012867362945557459,3696660000.0,1360.4090209,1364.0215100169746,50.86560572282931,-1.679965613299828,-7.072477530169717,1395.4219628797377,1319.1150609202623,25.642911427727807
2/29/2008,0.9996320009231567,1.0,Negative,1330.630005,1364.069946,1325.420044,1364.069946,4426730000,-0.027089704855781993,1,-0.008941874625847834,3938580000.0,-0.0009194441168340894,3904700000.0,0.006917910527061144,4096060000.0,0.013812671702367219,3866350000.0,0.007880610318921955,3572660000.0,1358.5860228999998,1357.9503272866154,41.17108933450703,-4.1176976720516905,-6.481521558546112,1393.3960578387444,1316.3489615612555,26.829847040032963
3/3/2008,0.0,0.0,Neutral,1331.339966,1335.130005,1320.040039,1330.449951,4117570000,0.0005335525257450513,0,-0.027089704855781993,4426730000.0,-0.008941874625847834,3938580000.0,-0.0009194441168340894,3904700000.0,0.006917910527061144,4096060000.0,0.013812671702367219,3866350000.0,1356.7210205000001,1353.1120797799579,41.40156143583051,-5.924041311563315,-6.370025509149553,1386.6676031064999,1316.6694084934998,25.991284108602038
3/4/2008,0.0,0.0,Neutral,1326.75,1331.030029,1307.390015,1329.579956,4757180000,-0.0034476287929600113,1,0.0005335525257450513,4117570000.0,-0.027089704855781993,4426730000.0,-0.008941874625847834,3938580000.0,-0.0009194441168340894,3904700000.0,0.006917910527061144,4096060000.0,1354.5180176,1348.31897436542,40.30226044465678,-7.637908501362517,-6.623602107592146,1382.8755719689182,1315.0544450310815,25.845474600844756
